feature,importance
sensor_04,0.1375812036810355
sensor_00,0.10853701567544709
sensor_05,0.07777772688160028
sensor_10,0.07225132873848103
rolling_std,0.06859703342557276
rolling_mean,0.04360002836393355
sensor_40,0.03671418288702495
sensor_51,0.03588548863178171
sensor_36,0.02904439945441128
sensor_03,0.028737872849796543
sensor_28,0.024271401288742327
sensor_12,0.022263880571160685
sensor_01,0.022259303644178885
sensor_07,0.0198737328636826
sensor_20,0.01951472567010114
sensor_11,0.017140487455130336
sensor_31,0.016430161540396105
sensor_44,0.015158316951402292
sensor_variance,0.01357820690098652
sensor_06,0.012235501248289548
sensor_19,0.011703534586220168
sensor_43,0.010080277663405838
sensor_33,0.009692906762353907
sensor_47,0.009538959493637408
sensor_38,0.009394520942434701
sensor_27,0.008828863566795622
sensor_45,0.008469590192087015
sensor_02,0.008043631751545398
sensor_39,0.007678666787721026
sensor_42,0.0072428138452243366
sensor_17,0.007117447171612778
sensor_50,0.006800542611741193
sensor_08,0.006701196329631123
sensor_37,0.004681064489960913
sensor_34,0.0046611350948688275
sensor_35,0.004607464474126376
sensor_32,0.004577690150872535
sensor_25,0.0045627800176029736
sensor_22,0.004517385987279754
sensor_49,0.004479109215512663
sensor_14,0.004067109094619385
sensor_48,0.0038207027633993798
sensor_46,0.0032380968201944013
sensor_09,0.0032058022288671334
sensor_16,0.0031743508665070096
sensor_26,0.002737489148702936
sensor_24,0.0027041232056459474
sensor_13,0.0026421527939878924
sensor_30,0.0025647141180366864
sensor_18,0.0022535666160608467
sensor_23,0.002078974291822288
sensor_21,0.001559043819818499
sensor_29,0.0011065338243674936
sensor_41,1.576055018043112e-05
sensor_15,0.0
